feature,weight,feature_desc,odds_ratio,model,cutoff
78902,0.14027081266188063,"Abdominal pain, left upper quadrant",1.1505853497506466,lr,365
7802,0.13962064110593939,Syncope and collapse,1.149837515020335,lr,365
5715,0.1373127098931694,Cirrhosis of liver without mention of alcohol,1.1471868291067666,lr,365
4299,0.13661801803032705,"Heart disease, unspecified",1.1463901645016745,lr,365
V672,0.13450570571515066,"Follow-up examination, following chemotherapy",1.143971186157503,lr,365
5758,0.12953548537875642,Other specified disorders of gallbladder,1.1382995037351413,lr,365
5997,0.1294516560186442,Hematuria,1.1382040848156365,lr,365
5853,0.12750946225467313,"Chronic kidney disease, Stage III (moderate)",1.1359956172701449,lr,365
70901,0.1256838131747503,Vitiligo,1.133923579898747,lr,365
2309,0.12379498613361856,Carcinoma in situ of other and unspecified digestive organs,1.1317838158367324,lr,365
72706,0.12265095804174454,Tenosynovitis of foot and ankle,1.1304897637146147,lr,365
725,0.12188901505719618,Polymyalgia rheumatica,1.1296287230436548,lr,365
5768,0.11858326083336077,Other specified disorders of biliary tract,1.1259006136228875,lr,365
V7641,0.11734604937367697,Screening for malignant neoplasms of rectum,1.1245084978296298,lr,365
042,0.11656086849106277,Human immunodeficiency virus [HIV] disease,1.1236259017989059,lr,365
57420,0.11571861335340684,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",1.1226799205450209,lr,365
2449,0.11498506277303823,Unspecified acquired hypothyroidism,1.121856680018935,lr,365
V148,0.11466048128564087,Personal history of allergy to other specified medicinal agents,1.1214926051982574,lr,365
7242,0.11435493275403243,Lumbago,1.1211499871254196,lr,365
49320,0.11384799958756117,"Chronic obstructive asthma, unspecified",1.1205817830452718,lr,365
44020,0.11338168462119742,"Atherosclerosis of native arteries of the extremities, unspecified",1.1200593608049247,lr,365
1962,0.11318211870678742,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,1.119835857436961,lr,365
5770,0.11284264078781894,Acute pancreatitis,1.1194557624110764,lr,365
5920,0.11283386850228742,Calculus of kidney,1.1194459422685612,lr,365
78053,0.11132190100240945,"Hypersomnia with sleep apnea, unspecified",1.117754655293647,lr,365
7230,0.11029469686490304,Spinal stenosis in cervical region,1.1166070825836352,lr,365
4160,0.10978597706859429,Primary pulmonary hypertension,1.1160391869181574,lr,365
61171,0.10957805043024105,Mastodynia,1.115807156765212,lr,365
V103,0.10897280606545633,Personal history of malignant neoplasm of breast,1.1151320251018202,lr,365
7248,0.10895629599581384,Other symptoms referable to back,1.115113614346407,lr,365
2888,0.108369488906649,Other specified disease of white blood cells,1.1144594497252744,lr,365
7062,0.10822996533959567,Sebaceous cyst,1.1143039672145019,lr,365
V1051,0.10752151632179881,Personal history of malignant neoplasm of bladder,1.1135148192319644,lr,365
5650,0.10195811571878935,Anal fissure,1.1073370907385194,lr,365
78841,0.10192066726918612,Urinary frequency,1.1072956234577307,lr,365
79319,0.10188375261920028,Other nonspecific abnormal finding of lung field,1.1072547487818016,lr,365
2143,0.10085518228087409,Lipoma of intra-abdominal organs,1.106116444903393,lr,365
8470,0.10001188527018853,Sprain of neck,1.1051840534086719,lr,365
78907,0.09862142326848987,"Abdominal pain, generalized",1.103648404855421,lr,365
V581,0.09831531539301445,Encounter for chemotherapy and immunotherapy for neoplastic conditions,1.103310621088712,lr,365
1101,0.09824413598468511,Dermatophytosis of nail,1.1032320908863993,lr,365
185,0.09802087546265205,Malignant neoplasm of prostate,1.1029858102072638,lr,365
1569,0.09746753684933292,"Malignant neoplasm of biliary tract, part unspecified site",1.1023756543954868,lr,365
82525,0.09534523215119506,Closed fracture of metatarsal bone(s),1.100038558257332,lr,365
20280,0.09508653446995532,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",1.0997540176396223,lr,365
6824,0.0941289392759175,"Cellulitis and abscess of hand, except fingers and thumb",1.0987014025477198,lr,365
53390,0.09329161577824048,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",1.09778181909458,lr,365
69589,0.09324399509226644,Other specified erythematous conditions,1.0977295432160215,lr,365
2355,0.0931209036467455,Neoplasm of uncertain behavior of other and unspecified digestive organs,1.0975944304155416,lr,365
99749,0.09304260540627739,Other digestive system complications,1.0975084940672688,lr,365
4270,0.09212522385582866,Paroxysmal supraventricular tachycardia,1.0965021217076478,lr,365
72400,0.09200523370306951,"Spinal stenosis, unspecified region",1.0963705601437672,lr,365
1890,0.09171274243296844,"Malignant neoplasm of kidney, except pelvis",1.0960499282194347,lr,365
V726,0.09159212240043214,Laboratory examination,1.0959177306144314,lr,365
81209,0.09134569964344327,Other closed fracture of upper end of humerus,1.0956477048174376,lr,365
71516,0.0910798360899251,"Osteoarthrosis, localized, primary, lower leg",1.0953564507438678,lr,365
2765,0.09095739461292963,Volume depletion,1.0952223418926126,lr,365
3004,0.09088393246936377,Dysthymic disorder,1.0951418874669094,lr,365
K862,0.09017137072497466,Cyst of pancreas,1.0943618092131897,lr,365
7202,0.08994211354733787,"Sacroiliitis, not elsewhere classified",1.0941109476704993,lr,365
V4579,0.08980564317061991,Other acquired absence of organ,1.0939616441252868,lr,365
30928,0.08958757945741834,Adjustment disorder with mixed anxiety and depressed mood,1.0937231167950916,lr,365
7948,0.0893533851268651,Nonspecific abnormal results of function study of liver,1.0934670030333093,lr,365
56989,0.0893388959992992,Other specified disorders of intestine,1.093451159765191,lr,365
23691,0.08904250222042154,Neoplasm of uncertain behavior of kidney and ureter,1.0931271156686295,lr,365
5739,0.08792076013469158,Unspecified disorder of liver,1.0919015964646719,lr,365
E9289,0.08777453746236878,Unspecified accident,1.0917419473677665,lr,365
72871,0.08760922298028233,Plantar fascial fibromatosis,1.0915614815303845,lr,365
4168,0.08651658910398635,Other chronic pulmonary heart diseases,1.0903694558200325,lr,365
4260,0.08588424780777211,"Atrioventricular block, complete",1.0896801881341651,lr,365
V8532,0.08577008492163056,"Body Mass Index 32.0-32.9, adult",1.0895557941996368,lr,365
2762,0.08565684100367703,Acidosis,1.0894324156187414,lr,365
1735,0.08564990634906579,"Other and unspecified malignant neoplasm of skin of trunk, except scrotum",1.0894248608074117,lr,365
6930,0.08530608054282024,Dermatitis due to drugs and medicines taken internally,1.0890503528127469,lr,365
2163,0.08520711906882555,Benign neoplasm of skin of other and unspecified parts of face,1.0889425841171405,lr,365
79093,0.08499531283851282,Elevated prostate specific antigen [PSA],1.0887119637176526,lr,365
2767,0.08477018936496022,Hyperpotassemia,1.088466896684888,lr,365
42769,0.08428887489055649,Other premature beats,1.0879431278714713,lr,365
78552,0.08409072476334058,Septic shock,1.087727573159082,lr,365
5963,0.08386997856623396,Diverticulum of bladder,1.0874874879337444,lr,365
34590,0.08341979333500692,"Epilepsy, unspecified, without mention of intractable epilepsy",1.0869980273097708,lr,365
5968,0.08308000388418157,Other specified disorders of bladder,1.0866287395906118,lr,365
V1052,0.08252479751884154,Personal history of malignant neoplasm of kidney,1.0860256038455254,lr,365
V7281,0.08220279924124026,Pre-operative cardiovascular examination,1.0856759617667506,lr,365
V08,0.08219806935804455,Asymptomatic human immunodeficiency virus [HIV] infection status,1.0856708266584074,lr,365
6119,0.08174045925049582,Unspecified breast disorder,1.0851741263708614,lr,365
7038,0.08149275945674385,Other specified diseases of nail,1.0849053622513571,lr,365
3804,0.08137835714754428,Impacted cerumen,1.084781253671942,lr,365
3534,0.08047284693364926,"Lumbosacral root lesions, not elsewhere classified",1.083799417765209,lr,365
7273,0.08036265410801476,Other bursitis,1.0836799974246976,lr,365
73301,0.08029451378817354,Senile osteoporosis,1.0836061576388294,lr,365
57410,0.07931701236290743,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",1.082547448604406,lr,365
5609,0.07849694445769059,Unspecified intestinal obstruction,1.0816600500991798,lr,365
D1801,0.07848169181179836,Hemangioma of skin and subcutaneous tissue,1.0816435520472798,lr,365
7823,0.07777826492195805,Edema,1.0808829624285046,lr,365
1625,0.07640618208874182,"Malignant neoplasm of lower lobe, bronchus or lung",1.0794009184471023,lr,365
V0382,0.07615207556116864,Other specified vaccinations against streptococcus pneumoniae [pneumococcus],1.0791266704734321,lr,365
7827,0.07611324594163171,Spontaneous ecchymoses,1.079084769208896,lr,365
81341,0.07610507722405686,Closed Colles' fracture,1.0790759545061794,lr,365
2116,0.07521734431030565,"Benign neoplasm of pancreas, except islets of Langerhans",1.0781184483326813,lr,365
7069,0.07479330793486444,Unspecified disease of sebaceous glands,1.077661383806395,lr,365
7395,0.07475870383353832,"Nonallopathic lesions, pelvic region",1.0776240929478866,lr,365
1541,0.07450180590685583,Malignant neoplasm of rectum,1.0773472891093536,lr,365
78905,0.07440871585542705,"Abdominal pain, periumbilic",1.0772470034626742,lr,365
78829,0.07396883184537824,Other specified retention of urine,1.0767732439382371,lr,365
78903,0.0733532251747148,"Abdominal pain, right lower quadrant",1.07611057913784,lr,365
57511,0.07306722993410145,Chronic cholecystitis,1.0758028606389436,lr,365
E9208,0.0727821205726848,Accidents caused by other specified cutting and piercing instruments or objects,1.075496182892762,lr,365
5950,0.07179094819925289,Acute cystitis,1.0744307089099643,lr,365
4549,0.07142190450853389,Asymptomatic varicose veins,1.0740342701918295,lr,365
30391,0.0713047389266955,"Other and unspecified alcohol dependence, continuous",1.07390843771341,lr,365
1536,0.070945524383692,Malignant neoplasm of ascending colon,1.0735227434623684,lr,365
2872,0.07027430327492179,Other nonthrombocytopenic purpuras,1.0728024141133885,lr,365
V1006,0.06950577600683983,"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus",1.0719782529406103,lr,365
3659,0.06933569553099748,Unspecified glaucoma,1.0717959458731334,lr,365
1740,0.06876279057207725,Malignant neoplasm of nipple and areola of female breast,1.0711820845196889,lr,365
4169,0.0682032560337462,"Chronic pulmonary heart disease, unspecified",1.0705828887975426,lr,365
78900,0.06813046959329361,"Abdominal pain, unspecified site",1.070504967715691,lr,365
72401,0.06708387467383176,"Spinal stenosis, thoracic region",1.069385168745393,lr,365
25081,0.06693942905345696,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",1.06923071189685,lr,365
V762,0.06661254158920561,Screening for malignant neoplasms of cervix,1.0688812509010597,lr,365
25001,0.06636412241658388,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",1.0686157532837945,lr,365
2734,0.06599353162628122,Alpha-1-antitrypsin deficiency,1.0682198074987175,lr,365
7234,0.06591703263328416,Brachial neuritis or radiculitis NOS,1.068138092884727,lr,365
40291,0.06584801411593581,Unspecified hypertensive heart disease with heart failure,1.0680643741212419,lr,365
82021,0.06568764879800773,Closed fracture of intertrochanteric section of neck of femur,1.0678931073713087,lr,365
7099,0.06554864565072353,Unspecified disorder of skin and subcutaneous tissue,1.0677446771847916,lr,365
81500,0.0652988564059165,"Closed fracture of metacarpal bone(s), site unspecified",1.0674779993562442,lr,365
1629,0.06516772843084245,"Malignant neoplasm of bronchus and lung, unspecified",1.067338032304751,lr,365
36653,0.06499477202950889,"After-cataract, obscuring vision",1.0671534453228875,lr,365
V1259,0.06492520096465978,Personal history of other diseases of circulatory system,1.0670792049038613,lr,365
43411,0.06459017977212692,Cerebral embolism with cerebral infarction,1.0667217706334784,lr,365
78863,0.06423059806966475,Urgency of urination,1.0663382659579048,lr,365
8208,0.06401523897506281,Closed fracture of unspecified part of neck of femur,1.0661086450407726,lr,365
9100,0.06395989460235747,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection",1.066049643559292,lr,365
72700,0.06367096183817203,"Synovitis and tenosynovitis, unspecified",1.0657416713827883,lr,365
1977,0.06362984544650098,"Malignant neoplasm of liver, secondary",1.065697852831644,lr,365
2353,0.06361716417255235,Neoplasm of uncertain behavior of liver and biliary passages,1.0656843385109154,lr,365
29181,0.06355333655963592,Alcohol withdrawal,1.0656163205941995,lr,365
43331,0.0634515189965937,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,1.0655078276606356,lr,365
72982,0.06329306099647934,Cramp of limb,1.0653390027973366,lr,365
60090,0.06319985748500097,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)",1.065239714088461,lr,365
27652,0.06308090139576415,Hypovolemia,1.065113004874539,lr,365
V5882,0.06295020158363843,"Fitting and adjustment of nonvascular catheter, NEC",1.064973803901878,lr,365
0701,0.06259128461386818,Viral hepatitis A without mention of hepatic coma,1.0645916353187943,lr,365
29635,0.06212892003743582,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission",1.0640995196354535,lr,365
79551,0.0620009334316207,Nonspecific reaction to tuberculin skin test without active tuberculosis,1.063963337864593,lr,365
9951,0.061566773686127826,"Angioneurotic edema, not elsewhere classified",1.0635015080738186,lr,365
8489,0.06129327888638582,Unspecified site of sprain and strain,1.063210685712857,lr,365
1551,0.06128115775480538,Malignant neoplasm of intrahepatic bile ducts,1.063197798474342,lr,365
57512,0.06109981426189544,Acute and chronic cholecystitis,1.0630050119527312,lr,365
2352,0.061043290699004354,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",1.0629449288201571,lr,365
41401,0.06076728766812098,Coronary atherosclerosis of native coronary artery,1.0626515932807516,lr,365
71500,0.060680958511673204,"Osteoarthrosis, generalized, site unspecified",1.062559859424816,lr,365
E9479,0.06050489335964973,Unspecified drug or medicinal substance causing adverse effects in therapeutic use,1.0623727961297793,lr,365
7821,0.06038800099901064,Rash and other nonspecific skin eruption,1.0622486201235155,lr,365
V1046,0.0601756757018685,Personal history of malignant neoplasm of prostate,1.0620231018120776,lr,365
D490,0.059998303742835296,Neoplasm of unspecified behavior of digestive system,1.0618347453990373,lr,365
5733,0.05950330217643655,"Hepatitis, unspecified",1.0613092656041987,lr,365
7866,0.059381448544526136,"Swelling, mass, or lump in chest",1.0611799490946079,lr,365
7881,0.058983062743246384,Dysuria,1.0607572742697005,lr,365
5695,0.05873684933832821,Abscess of intestine,1.0604961337588772,lr,365
E8352,0.05865290456298157,Other and unspecified fall in water transport injuring occupant of other watercraft -- crew,1.0604071143855809,lr,365
0093,0.05842806687838927,Diarrhea of presumed infectious origin,1.0601687217060904,lr,365
41400,0.058305655704590724,"Coronary atherosclerosis of unspecified type of vessel, native or graft",1.0600389531511645,lr,365
2808,0.058228839867955406,Other specified iron deficiency anemias,1.0599575284995035,lr,365
8406,0.05818198670111861,Supraspinatus (muscle) (tendon) sprain,1.0599078672959823,lr,365
84210,0.057643910383357456,"Sprain of hand, unspecified site",1.0593377093815735,lr,365
5279,0.057238505677888546,Unspecified disease of the salivary glands,1.058908335930399,lr,365
2850,0.05722936044775559,Sideroblastic anemia,1.058898652014258,lr,365
58881,0.057179319331872855,Secondary hyperparathyroidism (of renal origin),1.0588456648698836,lr,365
6182,0.05710255415467519,"Uterovaginal prolapse, incomplete",1.0587643855145468,lr,365
7211,0.05691202372327147,Cervical spondylosis with myelopathy,1.0585626778957498,lr,365
81200,0.05661454981685546,Closed fracture of unspecified part of upper end of humerus,1.0582478299526155,lr,365
V1041,0.05635853407363797,Personal history of malignant neoplasm of cervix uteri,1.0579769365258924,lr,365
20190,0.0561665719847588,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",1.0577738645548544,lr,365
3089,0.05594720848284218,Unspecified acute reaction to stress,1.0575418530240512,lr,365
2325,0.0558735704236609,"Carcinoma in situ of skin of trunk, except scrotum",1.0574639805617152,lr,365
0414,0.055572884338256606,Escherichia coli [E.coli],1.0571460636559342,lr,365
5941,0.055482357105037086,Other calculus in bladder,1.057050367479303,lr,365
29630,0.05475096634343809,"Major depressive affective disorder, recurrent episode, unspecified",1.0562775332623382,lr,365
E9359,0.054612881449160315,Unspecified analgesic and antipyretic causing adverse effects in therapeutic use,1.0561316873606195,lr,365
E9064,0.054590719540426214,Bite of nonvenomous arthropod,1.0561082817259106,lr,365
41511,0.05443233273814028,Iatrogenic pulmonary embolism and infarction,1.0559410213585674,lr,365
20210,0.05437989159745511,"Mycosis fungoides, unspecified site, extranodal and solid organ sites",1.0558856480588434,lr,365
3569,0.05427468237430115,Unspecified hereditary and idiopathic peripheral neuropathy,1.0557745649936556,lr,365
3379,0.05427441734510418,Unspecified disorder of autonomic nervous system,1.0557742851826075,lr,365
700,0.05402105701824341,Corns and callosities,1.0555068277476047,lr,365
V1559,0.05401831337385105,Personal history of other injury,1.0555039318161885,lr,365
33183,0.05389744522376445,"Mild cognitive impairment, so stated",1.0553763627182164,lr,365
72611,0.05361641359273088,Calcifying tendinitis of shoulder,1.0550798102499113,lr,365
V0980,0.053613967551961156,Infection with microorganisms without mention of resistance to multiple drugs,1.0550772294848363,lr,365
1730,0.05327673885258254,Other and unspecified malignant neoplasm of skin of lip,1.054721487149627,lr,365
7842,0.053256915746639676,"Swelling, mass, or lump in head and neck",1.0547005795010749,lr,365
78959,0.05251349988125129,Other ascites,1.0539167897340114,lr,365
45981,0.05180448452092236,"Venous (peripheral) insufficiency, unspecified",1.0531698113824364,lr,365
V8401,0.051755810800637486,Genetic susceptibility to malignant neoplasm of breast,1.053118550937153,lr,365
V7649,0.05132722237661832,Special screening for malignant neoplasms of other sites,1.0526672932259247,lr,365
412,0.05130704953668281,Old myocardial infarction,1.0526460581512997,lr,365
1971,0.05103229508811277,Secondary malignant neoplasm of mediastinum,1.0523568786925435,lr,365
1991,0.05094901766877189,Other malignant neoplasm without specification of site,1.0522692447764743,lr,365
1748,0.05091213778343092,Malignant neoplasm of other specified sites of female breast,1.0522304379229797,lr,365
28959,0.0507487999117535,Other diseases of spleen,1.0520585828783358,lr,365
6071,0.05074102218633438,Balanoposthitis,1.0520504002873743,lr,365
44481,0.05068144715201437,Embolism and thrombosis of iliac artery,1.0519877262155943,lr,365
262,0.0504571634129535,Other severe protein-calorie malnutrition,1.0517518089321067,lr,365
E6601,0.050071605455831905,Morbid (severe) obesity due to excess calories,1.05134637581726,lr,365
5880,0.049631284719962955,Renal osteodystrophy,1.050883548111203,lr,365
37220,0.04954168957558979,"Blepharoconjunctivitis, unspecified",1.0507893982657381,lr,365
59654,0.04947592723227188,Neurogenic bladder NOS,1.0507202981646917,lr,365
V071,0.049422314789876805,Need for desensitization to allergens,1.0506639679932455,lr,365
82380,0.04938196396794975,Closed fracture of unspecified part of tibia alone,1.050621573693896,lr,365
8830,0.04926520763128477,"Open wound of finger(s), without mention of complication",1.0504989141285104,lr,365
V4573,0.049228288326813,Acquired absence of kidney,1.0504601311551771,lr,365
03842,0.049196931403090664,Septicemia due to escherichia coli [E. coli],1.0504271924734017,lr,365
8080,0.049185984011253917,Closed fracture of acetabulum,1.050415693098274,lr,365
226,0.049176579749143016,Benign neoplasm of thyroid glands,1.05040581476022,lr,365
78492,0.04912605531434743,Jaw pain,1.0503527449407957,lr,365
2440,0.049004102171617756,Postsurgical hypothyroidism,1.0502246589329798,lr,365
78901,0.04894298866697862,"Abdominal pain, right upper quadrant",1.0501604779845952,lr,365
2883,0.0488545235583519,Eosinophilia,1.0500675795330312,lr,365
99592,0.04874878162651632,Severe sepsis,1.0499565492289964,lr,365
56969,0.0487151279742136,Other colostomy and enterostomy complication,1.0499212149509227,lr,365
1889,0.048428033151346944,"Malignant neoplasm of bladder, part unspecified",1.0496198312706098,lr,365
5521,0.04842593071448668,Umbilical hernia with obstruction,1.049617624513507,lr,365
78199,0.04836123696611183,Other symptoms involving nervous and musculoskeletal systems,1.049549723011442,lr,365
7853,0.048324741729248215,Other abnormal heart sounds,1.049511420144641,lr,365
B349,0.04824578419650637,"Viral infection, unspecified",1.049428556583716,lr,365
4772,0.048024114388644894,Allergic rhinitis due to animal (cat) (dog) hair and dander,1.0491959557384587,lr,365
4359,0.047845170129099494,Unspecified transient cerebral ischemia,1.0490082249422161,lr,365
7503,0.047701337919652885,"Tracheoesophageal fistula, esophageal atresia and stenosis",1.0488573546217608,lr,365
V8536,0.04767560190927811,"Body Mass Index 36.0-36.9, adult",1.048830361565349,lr,365
K644,0.04742900703044264,Residual hemorrhoidal skin tags,1.0485717572559794,lr,365
6823,0.047288392172791516,Cellulitis and abscess of upper arm and forearm,1.0484243228535726,lr,365
V1589,0.047269624788958395,Other specified personal history presenting hazards to health,1.0484046468565196,lr,365
7094,0.04726617695572321,Foreign body granuloma of skin and subcutaneous tissue,1.0484010321383657,lr,365
99529,0.04700593841418753,"Unspecified adverse effect of other drug, medicinal and biological substance",1.0481282332807456,lr,365
Z6842,0.04696578754691807,"Body mass index (BMI) 45.0-49.9, adult",1.048086150867998,lr,365
E8261,0.046877686556692166,Pedal cycle accident injuring pedal cyclist,1.0479938175076544,lr,365
K831,0.04677795034558707,Obstruction of bile duct,1.047889299787222,lr,365
82520,0.04667148612897532,Closed fracture of unspecified bone(s) of foot [except toes],1.047777743012332,lr,365
K567,0.04659622893215561,"Ileus, unspecified",1.0476988931635494,lr,365
V019,0.0465271871172833,Contact with or exposure to unspecified communicable disease,1.0476265606275392,lr,365
6146,0.04634435915895993,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",1.0474350427103227,lr,365
84200,0.04623525334209549,"Sprain of wrist, unspecified site",1.0473207676885234,lr,365
41011,0.046143577994844684,"Acute myocardial infarction of other anterior wall, initial episode of care",1.0472247585943635,lr,365
N12,0.04612815296920935,"Tubulo-interstitial nephritis, not specified as acute or chronic",1.0472086052501994,lr,365
9092,0.04590456473994316,Late effect of radiation,1.0469744879063956,lr,365
22801,0.04578620558696906,Hemangioma of skin and subcutaneous tissue,1.046850576226007,lr,365
V1083,0.04575410852067217,Personal history of other malignant neoplasm of skin,1.0468169759328971,lr,365
V5812,0.04572604536284872,Encounter for antineoplastic immunotherapy,1.046787599355091,lr,365
K660,0.04507770476716405,Peritoneal adhesions (postprocedural) (postinfection),1.0461091444180743,lr,365
68111,0.04484340929264448,Onychia and paronychia of toe,1.0458640744901921,lr,365
42741,0.04476405252671692,Ventricular fibrillation,1.0457810813927162,lr,365
81220,0.044754853268561476,Closed fracture of unspecified part of humerus,1.0457714610268247,lr,365
7197,0.04468613311117281,Difficulty in walking,1.0456995979166808,lr,365
57450,0.04465235199285193,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",1.045664273611486,lr,365
V061,0.044598247833259004,"Need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [DTP] [DTaP]",1.045607700355184,lr,365
1919,0.04455957251569293,"Malignant neoplasm of brain, unspecified",1.0455672619273129,lr,365
3371,0.04451951788978242,Peripheral autonomic neuropathy in disorders classified elsewhere,1.0455253829605007,lr,365
4479,0.04409526300314094,Unspecified disorders of arteries and arterioles,1.0450819077875786,lr,365
71951,0.043891055364110046,"Stiffness of joint, not elsewhere classified, shoulder region",1.0448685158674669,lr,365
G8918,0.04386439014253939,Other acute postprocedural pain,1.0448406545884443,lr,365
5690,0.04342549326520671,Anal and rectal polyp,1.044382177907187,lr,365
27900,0.04336121840600087,"Hypogammaglobulinemia, unspecified",1.0443150525470044,lr,365
6258,0.04317671985880103,Other specified symptoms associated with female genital organs,1.0441223957099903,lr,365
I700,0.04313011441237044,Atherosclerosis of aorta,1.0440737350535447,lr,365
5750,0.042867490702920265,Acute cholecystitis,1.0437995725386695,lr,365
29631,0.04277072641844192,"Major depressive affective disorder, recurrent episode, mild",1.0436985749064547,lr,365
61179,0.042758804263504646,Other signs and symptoms in breast,1.043686131844511,lr,365
25070,0.04242945351237189,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",1.0433424496321453,lr,365
V1000,0.042397261794604194,"Personal history of malignant neoplasm of gastrointestinal tract, unspecified",1.0433088631870773,lr,365
36256,0.04221089627021049,Macular puckering,1.0431144445007177,lr,365
B009,0.04214472449225018,"Herpesviral infection, unspecified",1.0430454220470033,lr,365
V1011,0.04209765031215478,Personal history of malignant neoplasm of bronchus and lung,1.0429963226946233,lr,365
7932,0.04205618907011247,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs,1.0429530796680997,lr,365
V1001,0.04188055626302366,Personal history of malignant neoplasm of tongue,1.0427699189760398,lr,365
V7791,0.041817492016227795,Screening for lipoid disorders,1.0427041595500743,lr,365
27542,0.04161493816314011,Hypercalcemia,1.042492977193549,lr,365
7901,0.04159370105367513,Elevated sedimentation rate,1.042470837891164,lr,365
7859,0.04144635314739534,Other symptoms involving cardiovascular system,1.0423172433120407,lr,365
D631,0.041372428687705,Anemia in chronic kidney disease,1.042240193420974,lr,365
57400,0.04130285238394152,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",1.042167680723294,lr,365
27801,0.04103903292565626,Morbid obesity,1.0418927728749374,lr,365
4781,0.04099423522509171,Other diseases of nasal cavity and sinuses,1.041846099519915,lr,365
E9203,0.04088518646296251,"Accidents caused by knives, swords, and daggers",1.0417324936868335,lr,365
1891,0.04083951676376029,Malignant neoplasm of renal pelvis,1.041684919163563,lr,365
